OrderID,Date,Product,Category,Region,Country,City,Store,Quantity,UnitPrice,TotalRevenue,PaymentMethod,CustomerSegment
1,2024-04-12,"MacBook Pro 16""",Computers,Middle East,UAE,Dubai,Apple Orchard Road,1,2413.04,2413.04,Apple Pay,Enterprise
2,2024-11-26,Apple Watch Ultra,Wearables,Middle East,Saudi Arabia,Jeddah,Apple Orchard Road,2,763.56,1527.11,PayPal,Premium
3,2024-10-20,iPhone 15,Smartphone,South America,Brazil,São Paulo,Apple Pacific Centre,2,759.61,1519.23,Credit Card,Consumer
4,2024-02-28,AirPods Max,Accessories,Europe,Italy,Florence,Apple Michigan Avenue,1,575.53,575.53,Credit Card,Enterprise
5,2024-11-02,iPad Pro,Tablets,Middle East,UAE,Dubai,Apple Union Square,4,1150.17,4600.69,Debit Card,Premium
6,2024-09-21,Apple Watch Series 9,Wearables,Middle East,Saudi Arabia,Jeddah,Apple Pacific Centre,1,383.92,383.92,Bank Transfer,Education
7,2024-02-04,AirPods 3rd Gen,Accessories,North America,Canada,Vancouver,Apple Orchard Road,2,177.66,355.32,Debit Card,Education
8,2024-11-05,AirPods Pro,Accessories,Europe,Germany,Munich,Apple IFC Mall,3,251.44,754.31,PayPal,Consumer
9,2024-07-08,iPad Air,Tablets,Middle East,Saudi Arabia,Riyadh,Apple Union Square,1,604.2,604.2,Credit Card,Education
10,2024-07-06,Apple Watch SE,Wearables,Middle East,UAE,Dubai,Apple Fifth Avenue,1,247.09,247.09,Credit Card,Education
11,2024-05-15,iPad Air,Tablets,Asia,South Korea,Seoul,Apple Orchard Road,2,615.25,1230.5,Bank Transfer,Premium
12,2024-08-18,Apple Watch Series 9,Wearables,North America,Canada,Montreal,Apple Sydney,2,392.25,784.51,Bank Transfer,Enterprise
13,2024-06-20,iPad Air,Tablets,Asia,South Korea,Seoul,Apple Michigan Avenue,1,611.77,611.77,Credit Card,Consumer
14,2024-08-05,iPad Pro,Tablets,Asia,China,Hong Kong,Apple IFC Mall,1,1055.91,1055.91,Credit Card,Education
15,2024-04-05,"MacBook Pro 16""",Computers,Middle East,UAE,Dubai,Apple Eaton Centre,1,2609.67,2609.67,Apple Pay,Enterprise
16,2024-03-26,Apple Watch SE,Wearables,Europe,Germany,Berlin,Apple Sydney,1,247.92,247.92,PayPal,Education
17,2024-12-05,AirPods 3rd Gen,Accessories,Asia,Japan,Kyoto,Apple Pacific Centre,1,186.28,186.28,Credit Card,Consumer
18,2024-10-09,AirPods 3rd Gen,Accessories,North America,Canada,Toronto,Apple Sydney,1,173.0,173.0,Apple Pay,Consumer
19,2024-11-13,"MacBook Pro 14""",Computers,North America,USA,Los Angeles,Apple Pacific Centre,1,1932.69,1932.69,Credit Card,Education
20,2024-04-22,AirPods 3rd Gen,Accessories,North America,Canada,Vancouver,Apple Dubai Mall,1,175.44,175.44,Credit Card,Education
